Type,From,To
Hosted-on,Riot Direct Network,Riot BGP Network
Hosted-on,Riot Direct Network,Cloudflare Enterprise Edge
Hosted-on,Riot Direct Network,AWS WAF
Hosted-on,Riot Sign On (RSO),AWS Compute NA
Hosted-on,Riot Sign On (RSO),AWS Compute EU
Hosted-on,Riot Sign On (RSO),AWS Compute AP
Hosted-on,Vanguard Anti-Cheat Service,AWS Compute NA
Hosted-on,Riot Client Launcher,AWS CloudFront
Hosted-on,Matchmaking Service NA,AWS Compute NA
Hosted-on,Matchmaking Service EU,AWS Compute EU
Hosted-on,Matchmaking Service AP,AWS Compute AP
Hosted-on,Party Service,AWS Compute NA
Hosted-on,Party Service,AWS Compute EU
Hosted-on,Party Service,AWS Compute AP
Hosted-on,Game Server Manager,AWS GameLift Fleet
Hosted-on,Game Server NA-1,AWS Compute NA
Hosted-on,Game Server NA-2,AWS Compute NA
Hosted-on,Game Server EU-1,AWS Compute EU
Hosted-on,Game Server EU-2,AWS Compute EU
Hosted-on,Game Server AP-1,AWS Compute AP
Hosted-on,Global Load Balancer,AWS Global Accelerator
Hosted-on,Global Load Balancer,AWS Route 53
Hosted-on,Regional Load Balancer NA,AWS NLB NA
Hosted-on,Regional Load Balancer EU,AWS NLB EU
Hosted-on,Regional Load Balancer AP,AWS NLB AP
Hosted-on,Chat Service,AWS Compute NA
Hosted-on,Chat Service,AWS Compute EU
Hosted-on,Voice Service,AWS Compute NA
Hosted-on,Voice Service,AWS Compute EU
Hosted-on,Player Profile Service,AWS Aurora Player DB
Hosted-on,Competitive Rank Service,AWS DynamoDB Match
Hosted-on,Leaderboard Service,AWS DynamoDB Match
Hosted-on,Store Service,AWS Compute NA
Hosted-on,Inventory Service,AWS Aurora Player DB
Hosted-on,Battle Pass Service,AWS Compute NA
Hosted-on,Patch Distribution Service,AWS S3 Assets
Hosted-on,Patch Distribution Service,AWS CloudFront
Hosted-on,Anti-Cheat Telemetry,AWS Kinesis Analytics
Hosted-on,Event Bus,AWS MSK Events
Hosted-on,Analytics Ingestion,AWS Kinesis Analytics
Hosted-on,Player Telemetry Aggregator,AWS S3 Assets
Hosted-on,Configuration Service,AWS Compute NA
Hosted-on,DDoS Mitigation Layer,Cloudflare Magic Transit
Hosted-on,DDoS Mitigation Layer,AWS Shield Advanced
Hosted-on,API Gateway,AWS Compute NA
Hosted-on,Social Graph Service,AWS DynamoDB Match
Hosted-on,Friends Service,AWS DynamoDB Match
Hosted-on,Presence Service,AWS MemoryDB Session
Hosted-on,Session Cache,AWS MemoryDB Session
Hosted-on,Notification Service,AWS MSK Events
Hosted-on,Monitoring & Alerting,Datadog Observability
Hosted-on,Monitoring & Alerting,AWS CloudWatch
Hosted-on,Secret Management Service,AWS Secrets Manager
Dependency,Valorant Client,DDoS Mitigation Layer
