Node,Type,Provider,Service Tier
DNS Service,Functional,,
DDoS Protection,Functional,,
CDN Edge,Functional,,
Load Balancer,Functional,,
API Gateway,Functional,,
Auth Service,Functional,,
Account Service,Functional,,
Session Token Store,Functional,,
Matchmaking Service,Functional,,
Lobby Manager,Functional,,
Game Server NA,Functional,,
Game Server EU,Functional,,
Game Server AS,Functional,,
Game State Manager,Functional,,
Anti-Cheat Service,Functional,,
Player Profile Service,Functional,,
Friends Service,Functional,,
Cosmetics Service,Functional,,
Store Service,Functional,,
Payment Gateway,Functional,,
Inventory Service,Functional,,
DLC Service,Functional,,
Chat Service,Functional,,
Notification Service,Functional,,
Content Delivery Service,Functional,,
Asset Service,Functional,,
Game Update Service,Functional,,
Telemetry Collector,Functional,,
Analytics Service,Functional,,
Event Bus,Functional,,
Config Service,Functional,,
Feature Flags,Functional,,
Log Aggregation,Functional,,
Monitoring Service,Functional,,
Incident Alert Service,Functional,,
Player Report Service,Functional,,
Moderation Service,Functional,,
Lobby Code Service,Functional,,
Role Assignment Service,Functional,,
Task Assignment Service,Functional,,
Vote System Service,Functional,,
Session Persistence,Functional,,
Map Selector Service,Functional,,
Achievement Service,Functional,,
Secret Management Service,Functional,,
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
AWS ALB,Provider,AWS Networking & Edge,Application Load Balancer
AWS WAF,Provider,AWS Security,WAF (Managed Rules)
AWS Shield Advanced,Provider,AWS Security,Shield Advanced
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS Compute Backend,Provider,AWS Compute,ECS/EKS (Fargate multi-AZ)
AWS Lambda,Provider,AWS Compute,AWS Lambda
GameLift Fleet NA,Provider,Amazon GameLift,GameLift (multi-region FleetIQ)
GameLift Fleet EU,Provider,Amazon GameLift,GameLift (multi-region FleetIQ)
GameLift Fleet AS,Provider,Amazon GameLift,GameLift (multi-region FleetIQ)
AWS DynamoDB Global,Provider,AWS Database,DynamoDB Global Tables
AWS ElastiCache Cluster,Provider,AWS Database,ElastiCache (cluster mode)
AWS RDS Multi-AZ,Provider,AWS Database,RDS Multi-AZ (Standby)
AWS S3,Provider,AWS Storage,S3 Standard
AWS SQS,Provider,AWS Messaging & Queuing,SQS Standard
AWS SNS,Provider,AWS Messaging & Queuing,SNS
AWS EventBridge,Provider,AWS Messaging & Queuing,EventBridge
AWS CloudWatch,Provider,AWS Observability,CloudWatch (standard)
Datadog Pro,Provider,Datadog,Pro
Stripe Payments,Provider,Stripe,Payment Processing
PagerDuty,Provider,PagerDuty,Incident Management
