Node,Type,Provider,Service Tier
DNS Service,Functional,,
DDoS Protection,Functional,,
CDN Network,Functional,,
Global Load Balancer,Functional,,
API Gateway,Functional,,
Auth Service,Functional,,
EA Account Service,Functional,,
Session Manager,Functional,,
Game Server NA,Functional,,
Game Server EU,Functional,,
Game Server AP,Functional,,
Game Server SA,Functional,,
Game Server Manager,Functional,,
Matchmaking Service,Functional,,
Party Service,Functional,,
Squad Service,Functional,,
Lobby Service,Functional,,
Game State Manager,Functional,,
Legend Select Service,Functional,,
Player Profile Service,Functional,,
Player Stats Service,Functional,,
Ranked Service,Functional,,
Friends Service,Functional,,
Presence Service,Functional,,
Chat Service,Functional,,
Voice Chat Service,Functional,,
Notification Service,Functional,,
Item Shop Service,Functional,,
Battle Pass Service,Functional,,
Inventory Service,Functional,,
Cosmetics Service,Functional,,
Apex Coins Service,Functional,,
Payment Gateway,Functional,,
Anti-Cheat Service,Functional,,
Moderation Service,Functional,,
Player Report Service,Functional,,
Content Delivery Service,Functional,,
Asset Service,Functional,,
Game Update Service,Functional,,
Telemetry Collector,Functional,,
Analytics Pipeline,Functional,,
Event Bus,Functional,,
Log Aggregation,Functional,,
Monitoring Service,Functional,,
Incident Alert Service,Functional,,
Config Service,Functional,,
Feature Flags,Functional,,
Secret Management Service,Functional,,
Leaderboard Service,Functional,,
Club Service,Functional,,
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
Cloudflare Enterprise,Provider,Cloudflare,Enterprise
AWS ALB,Provider,AWS Networking & Edge,Application Load Balancer
AWS Global Accelerator,Provider,AWS Networking & Edge,AWS Global Accelerator
AWS Shield Advanced,Provider,AWS Security,Shield Advanced
AWS WAF,Provider,AWS Security,WAF (Managed Rules)
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS Compute Services,Provider,AWS Compute,ECS/EKS (Fargate multi-AZ)
EA Co-location,Provider,Private Network,Co-location (multi-DC)
AWS DynamoDB Global,Provider,AWS Database,DynamoDB Global Tables
AWS Aurora Global,Provider,AWS Database,Aurora Global Database
AWS ElastiCache Cluster,Provider,AWS Database,ElastiCache (cluster mode)
AWS S3 Storage,Provider,AWS Storage,S3 Standard
AWS Kinesis Stream,Provider,AWS Messaging & Queuing,Kinesis (multi-shard enhanced fanout)
AWS EventBridge,Provider,AWS Messaging & Queuing,EventBridge
AWS CloudWatch,Provider,AWS Observability,CloudWatch (Container Insights)
Datadog Enterprise,Provider,Datadog,Enterprise
PagerDuty,Provider,PagerDuty,Incident Management
Stripe Payments,Provider,Stripe,Payment Processing
