Type,From,To
Dependency,DDoS Protection,DNS Service
Dependency,Global Load Balancer,DDoS Protection
Dependency,CDN Network,DDoS Protection
Dependency,API Gateway,Global Load Balancer
Dependency,API Gateway,Auth Service
Dependency,API Gateway,Matchmaking Service
Dependency,API Gateway,Player Profile Service
Dependency,API Gateway,Item Shop Service
Dependency,Auth Service,EA Account Service
Dependency,Auth Service,Session Manager
Dependency,Auth Service,Secret Management Service
Dependency,Friends Service,EA Account Service
Dependency,Friends Service,Presence Service
Dependency,Party Service,Friends Service
Dependency,Party Service,Squad Service
Dependency,Squad Service,Lobby Service
Dependency,Matchmaking Service,Lobby Service
Dependency,Matchmaking Service,Player Profile Service
Dependency,Matchmaking Service,Player Stats Service
Dependency,Matchmaking Service,Game Server Manager
Dependency,Lobby Service,Game Server NA
Dependency,Lobby Service,Game Server EU
Dependency,Lobby Service,Game Server AP
Dependency,Lobby Service,Game Server SA
Dependency,Game Server Manager,Game Server NA
Dependency,Game Server Manager,Game Server EU
Dependency,Game Server Manager,Game Server AP
Dependency,Game Server Manager,Game Server SA
Dependency,Game Server NA,Game State Manager
Dependency,Game Server EU,Game State Manager
Dependency,Game Server AP,Game State Manager
Dependency,Game Server SA,Game State Manager
Dependency,Game Server NA,Anti-Cheat Service
Dependency,Game State Manager,Legend Select Service
Dependency,Legend Select Service,Player Profile Service
Dependency,Ranked Service,Player Stats Service
Dependency,Leaderboard Service,Player Stats Service
Dependency,Battle Pass Service,Inventory Service
Dependency,Battle Pass Service,Player Profile Service
Dependency,Battle Pass Service,Event Bus
Dependency,Item Shop Service,Cosmetics Service
Dependency,Item Shop Service,Player Profile Service
Dependency,Cosmetics Service,Inventory Service
Dependency,Apex Coins Service,EA Account Service
Dependency,Payment Gateway,Apex Coins Service
Dependency,Payment Gateway,Secret Management Service
Dependency,Chat Service,Presence Service
Dependency,Voice Chat Service,Party Service
Dependency,Notification Service,Event Bus
Dependency,Notification Service,Chat Service
Dependency,Anti-Cheat Service,EA Account Service
Dependency,Moderation Service,EA Account Service
Dependency,Player Report Service,Moderation Service
Dependency,Asset Service,CDN Network
Dependency,Content Delivery Service,Asset Service
Dependency,Game Update Service,Content Delivery Service
Dependency,Telemetry Collector,Game Server NA
Dependency,Analytics Pipeline,Telemetry Collector
Dependency,Log Aggregation,Telemetry Collector
Dependency,Monitoring Service,Log Aggregation
Dependency,Incident Alert Service,Monitoring Service
Dependency,Feature Flags,Config Service
Hosted-on,DNS Service,AWS Route 53
Hosted-on,Global Load Balancer,AWS Route 53
Hosted-on,CDN Network,AWS CloudFront
Hosted-on,Content Delivery Service,AWS CloudFront
Hosted-on,Content Delivery Service,AWS Compute Services
Hosted-on,Global Load Balancer,AWS ALB
Hosted-on,API Gateway,AWS ALB
Hosted-on,DDoS Protection,AWS Shield Standard
Hosted-on,API Gateway,AWS Shield Standard
Hosted-on,Global Load Balancer,AWS WAF
Hosted-on,API Gateway,AWS WAF
Hosted-on,Auth Service,AWS Secrets Manager
Hosted-on,Secret Management Service,AWS Secrets Manager
Hosted-on,API Gateway,AWS Compute Services
Hosted-on,Auth Service,AWS Compute Services
Hosted-on,EA Account Service,AWS Compute Services
Hosted-on,Session Manager,AWS Compute Services
Hosted-on,Matchmaking Service,AWS Compute Services
Hosted-on,Party Service,AWS Compute Services
Hosted-on,Squad Service,AWS Compute Services
Hosted-on,Lobby Service,AWS Compute Services
Hosted-on,Game Server Manager,AWS Compute Services
Hosted-on,Legend Select Service,AWS Compute Services
Hosted-on,Player Stats Service,AWS Compute Services
