Type,From,To
Hosted-on,Riot Direct Network,Riot BGP Network
Hosted-on,Riot Direct Network,Cloudflare Enterprise Edge
Hosted-on,Riot Direct Network,AWS WAF
Hosted-on,OpenContrail SDN,Riot Private DC
Hosted-on,Riot Sign On (RSO),AWS Compute NA
Hosted-on,Riot Sign On (RSO),AWS Compute EU
Hosted-on,Riot Sign On (RSO),AWS Compute KR
Hosted-on,Champion Select Service,AWS Compute NA
Hosted-on,Champion Select Service,AWS Compute EU
Hosted-on,Champion Select Service,AWS Compute KR
Hosted-on,Matchmaking Queue NA,AWS Compute NA
Hosted-on,Matchmaking Queue EU,AWS Compute EU
Hosted-on,Matchmaking Queue KR,AWS Compute KR
Hosted-on,Ranked LP Service,AWS DynamoDB Game
Hosted-on,Game Server NA-1,AWS Compute NA
Hosted-on,Game Server NA-2,AWS Compute NA
Hosted-on,Game Server EU-1,AWS Compute EU
Hosted-on,Game Server EU-2,AWS Compute EU
Hosted-on,Game Server KR-1,AWS Compute KR
Hosted-on,Game Server Manager,AWS GameLift Fleet
Hosted-on,Spectator Service,AWS Compute NA
Hosted-on,Spectator Service,AWS Compute EU
Hosted-on,Spectator Service,AWS Compute KR
Hosted-on,End of Game Stats Service,AWS DynamoDB Game
Hosted-on,Summoner Profile Service,AWS Aurora Player DB
Hosted-on,Champion Data Service,AWS S3 Assets
Hosted-on,Champion Data Service,AWS CloudFront
Hosted-on,Mastery Service,AWS DynamoDB Game
Hosted-on,Hextech Loot Service,AWS Compute NA
Hosted-on,Store Service,AWS Compute NA
Hosted-on,Clash Service,AWS Compute NA
Hosted-on,Esports Data Service,AWS S3 Assets
Hosted-on,Chat Service,AWS Compute NA
Hosted-on,Chat Service,AWS Compute EU
Hosted-on,Friends Service,AWS DynamoDB Game
Hosted-on,Presence Service,AWS MemoryDB Session
Hosted-on,Global Load Balancer,AWS Global Accelerator
Hosted-on,Global Load Balancer,AWS Route 53
Hosted-on,Regional Load Balancer NA,AWS NLB NA
Hosted-on,Regional Load Balancer EU,AWS NLB EU
Hosted-on,Regional Load Balancer KR,AWS NLB KR
Hosted-on,Patch Distribution Service,AWS S3 Assets
Hosted-on,Patch Distribution Service,AWS CloudFront
Hosted-on,API Gateway,AWS Compute NA
Hosted-on,Event Bus,AWS MSK Events
Hosted-on,Analytics Pipeline,AWS Kinesis Analytics
Hosted-on,Analytics Pipeline,AWS S3 Assets
Hosted-on,Player Telemetry Service,AWS Kinesis Analytics
Hosted-on,Anti-Cheat Service,AWS Compute NA
Hosted-on,Configuration Service,AWS Compute NA
Hosted-on,DDoS Mitigation Layer,Cloudflare Magic Transit
Hosted-on,DDoS Mitigation Layer,AWS Shield Advanced
Hosted-on,Session Cache,AWS MemoryDB Session
Hosted-on,Notification Service,AWS MSK Events
