Node,Type,Provider,Service Tier
Riot Direct Network,Functional,,
LoL Client,Functional,,
Riot Sign On (RSO),Functional,,
Champion Select Service,Functional,,
Matchmaking Queue NA,Functional,,
Matchmaking Queue EU,Functional,,
Ranked LP Service,Functional,,
Game Server NA-1,Functional,,
Game Server EU-1,Functional,,
Game Server Manager,Functional,,
End of Game Stats Service,Functional,,
Summoner Profile Service,Functional,,
Champion Data Service,Functional,,
Mastery Service,Functional,,
Hextech Loot Service,Functional,,
Store Service,Functional,,
Clash Service,Functional,,
Chat Service,Functional,,
Friends Service,Functional,,
Presence Service,Functional,,
Global Load Balancer,Functional,,
Regional Load Balancer NA,Functional,,
Regional Load Balancer EU,Functional,,
Patch Distribution Service,Functional,,
API Gateway,Functional,,
Event Bus,Functional,,
Analytics Pipeline,Functional,,
Player Telemetry Service,Functional,,
Anti-Cheat Service,Functional,,
Configuration Service,Functional,,
DDoS Mitigation Layer,Functional,,
Session Cache,Functional,,
Notification Service,Functional,,
Monitoring & Alerting,Functional,,
Secret Management Service,Functional,,
Riot BGP Network,Provider,Riot Network,Riot Direct BGP
AWS Compute NA,Provider,AWS Compute,EC2 Auto Scaling Group (multi-AZ)
AWS Compute EU,Provider,AWS Compute,EC2 Auto Scaling Group (multi-AZ)
AWS GameLift Single,Provider,Amazon GameLift,GameLift (single region)
AWS RDS Player DB,Provider,AWS Database,RDS Multi-AZ (Standby)
AWS RDS Game DB,Provider,AWS Database,RDS Single-AZ (any engine)
AWS ElastiCache,Provider,AWS Database,ElastiCache (cluster mode)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
AWS NLB NA,Provider,AWS Networking & Edge,Network Load Balancer
AWS NLB EU,Provider,AWS Networking & Edge,Network Load Balancer
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS Kinesis Single,Provider,AWS Messaging & Queuing,Kinesis (1 shard)
AWS MSK Single,Provider,AWS Messaging & Queuing,MSK (Managed Kafka single-AZ)
AWS S3 Assets,Provider,AWS Storage,S3 Standard
AWS Shield Standard,Provider,AWS Security,Shield Standard
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS CloudWatch Standard,Provider,AWS Observability,CloudWatch (standard)
Cloudflare Business,Provider,Cloudflare,Business
