Node,Type,Provider,Service Tier
DNS Service,Functional,,
DDoS Protection,Functional,,
CDN Network,Functional,,
Load Balancer NA,Functional,,
Load Balancer EU,Functional,,
Load Balancer AP,Functional,,
API Gateway,Functional,,
Service Discovery,Functional,,
Auth Service,Functional,,
Account Service,Functional,,
Session Manager,Functional,,
Age Verification Service,Functional,,
Game Server NA,Functional,,
Game Server EU,Functional,,
Game Server AP,Functional,,
Game Server Manager,Functional,,
Studio Backend,Functional,,
Avatar Service,Functional,,
Asset Service,Functional,,
Catalog Service,Functional,,
Friends Service,Functional,,
Chat Service,Functional,,
Group Service,Functional,,
Notification Service,Functional,,
Presence Service,Functional,,
Feed Service,Functional,,
Safety Filter,Functional,,
Robux Service,Functional,,
Marketplace Service,Functional,,
Trade Service,Functional,,
Premium Subscription Service,Functional,,
Developer Exchange Service,Functional,,
Payment Gateway,Functional,,
Moderation Service,Functional,,
Player Report Service,Functional,,
Content Delivery Service,Functional,,
Game Discovery Service,Functional,,
Badge Service,Functional,,
Game Pass Service,Functional,,
Leaderboard Service,Functional,,
Game State Service,Functional,,
Telemetry Collector,Functional,,
Analytics Pipeline,Functional,,
Event Bus,Functional,,
Log Aggregation,Functional,,
Monitoring Service,Functional,,
Incident Alert Service,Functional,,
Config Service,Functional,,
Feature Flags,Functional,,
Secret Management Service,Functional,,
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
AWS ALB,Provider,AWS Networking & Edge,Application Load Balancer
AWS Shield Standard,Provider,AWS Security,Shield Standard
AWS WAF,Provider,AWS Security,WAF (Managed Rules)
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS Compute Services,Provider,AWS Compute,ECS/EKS (EC2-backed multi-AZ)
Roblox Co-location Single DC,Provider,Private Network,Co-location (single DC)
AWS DynamoDB On-Demand,Provider,AWS Database,DynamoDB (On-Demand)
MongoDB Atlas M30+,Provider,MongoDB Atlas,M30+ replica set
AWS ElastiCache Single Node,Provider,AWS Database,ElastiCache (single node)
AWS S3 Storage,Provider,AWS Storage,S3 Standard
AWS Kinesis Stream,Provider,AWS Messaging & Queuing,Kinesis (multi-shard enhanced fanout)
AWS EventBridge,Provider,AWS Messaging & Queuing,EventBridge
AWS CloudWatch,Provider,AWS Observability,CloudWatch (standard)
Datadog Pro,Provider,Datadog,Pro
PagerDuty,Provider,PagerDuty,Incident Management
Stripe Payments,Provider,Stripe,Payment Processing
